Season,Competition Group,Competition,Position,Team,Played,Won,Drawn,Lost,For,Against,GD,Points
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,1,Barnes W2,18,15,1,2,58,20,38,46
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2,Southgate W2,18,15,1,2,38,14,24,46
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,3,London Wayfarers W2,18,11,2,5,39,26,13,35
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,4,Tulse Hill & Dulwich W1,18,8,5,5,43,27,16,29
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,5,West Hampstead W1,18,8,4,6,42,28,14,28
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,6,Surbiton Sparks,18,8,4,6,46,38,8,28
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,7,Hampstead & Westminster W3,18,9,1,8,29,36,-7,28
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,8,Wanderers W1,18,6,3,9,29,43,-14,21
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,9,Surbiton W3,18,4,4,10,29,37,-8,16
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,10,PHC Chiswick W1,18,3,3,12,25,54,-29,12
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,11,Old Cranleighan W1,18,2,3,13,31,50,-19,9
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,12,Wimbledon W3,18,2,3,13,14,50,-36,9
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,1,Wapping W1,22,16,5,1,54,13,41,53
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2,Barnes W2,22,17,2,3,76,36,40,53
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,3,Surbiton Sparks,22,16,4,2,75,24,51,52
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,4,London Wayfarers W2,22,13,3,6,53,27,26,42
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,5,Southgate W2,22,13,3,6,50,24,26,42
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,6,Tulse Hill & Dulwich W1,22,12,4,6,45,25,20,40
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,7,Wanderers W1,22,6,2,14,28,49,-21,20
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,8,PHC Chiswick W1,22,4,5,13,27,49,-22,17
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,9,Wimbledon W3,22,4,4,14,38,76,-38,16
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,10,Hampstead & Westminster W3,22,5,1,16,35,76,-41,16
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,11,Old Cranleighan W1,22,4,3,15,26,48,-22,15
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,12,West Herts W1,22,3,2,17,20,80,-60,11
